hotel_name,location,rate,facility,category
OYO 90909 Omah Citra,"00, Kricak, Tegalrejo, Sinduadi, Mlati, Sleman, Daerah Istimewa Yogyakarta, Indonesia, Yogyakarta",NEW,"Window, AC, TV, Coffee/Tea Maker, Hair Dryer",Indonesia Deluxe Double
OYO 90023 Damar Kusumo Guest House,Near Ambarrukmo Plaza Mall / Atmajaya University,NEW,"Free Wifi, Kitchen, AC, TV, Parking Facility",Indonesia Deluxe Double
OYO 2041 Griya Aneka,"Near Jogja National Museum, Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, AC, TV, Reception",Indonesia Standard Double
OYO 1683 Hotel Musafira Syariah,"Near Museum of Dewantara Kirti Griya, Yogyakarta",4.7,"Free Wifi, Queen Sized Bed, AC, TV, Seating Area","Indonesia Deluxe Double, Indonesia Suite Family, Standard Family"
OYO 90905 Dangau Datuk Guesthouse,"47, Dixen Lounge and Cafe, Ambarketawang, Gamping, Sleman, Daerah Istimewa Yogyakarta, Indonesia, Yogyakarta",4.5,"Window, AC, TV","Indonesia Standard Double, Indonesia Standard Twin"
OYO 3083 D Kost 3 Syariah,"Near Asri Medical Centre (AMC), Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, AC, TV, Parking Facility",Indonesia Standard Double
OYO 90210 Kenari House Syariah,Nearby Candi Sambisari,NEW,"AC, TV, Parking Facility, Reception, Fire-Extinguisher","Indonesia Deluxe Double, Indonesia Suite Family"
SPOT ON 2881 Nabila Homestay,"Near Pring Ledok Tinjon, Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, Parking Facility, CCTV Cameras, Reception","SPOT ON SAVER, SPOT ON Double"
OYO 4016 Tan Jokteng Guest House,"Near Masjid Jogokariyan, Yogyakarta",4.5,"Free Wifi, Kitchen, AC, TV, Parking Facility","Standard Twin Room, Standard Family, Indonesia Standard Double"
OYO 902 Hotel Pondok Anggun,"Near Hartono Mall Yogyakarta, Yogyakarta",NEW,"Free Wifi, Twin Single Bed, AC, TV, Power backup","Indonesia Deluxe Twin, Indonesia Deluxe Double, Indonesia Suite Double, Classic (2X)"
OYO 444 Rafitha Homestay,"Near Grha Pradipta Jogja Expo Center, Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, AC, TV, Seating Area","Indonesia Deluxe Double, Indonesia Suite Double, Indonesia Standard Double"
OYO 1061 Aliya Homestay,"Near Umbulharjo, Yogyakarta",4.7,"Free Wifi, AC, TV, Parking Facility, Card Payment","Indonesia Deluxe Single, Indonesia Suite Family, Indonesia Deluxe Double"
OYO 577 Ndalem Pundhi Guest House,"Near Plaza Ambarrukmo, Yogyakarta",4.8,"Free Wifi, Queen Sized Bed, AC, TV, Power backup",Indonesia Deluxe Double
OYO 206 Hotel Candra Kirana,"Near Alun- Alun Kidul Yogyakarta, Yogyakarta",4.6,"Free Wifi, Twin Single Bed, AC, TV, Seating Area","Indonesia Deluxe Twin, Indonesia Suite Triple, Classic (2X), Indonesia Standard Twin"
SPOT ON 2107 Ijo Pupus Syariah Residence,"Near Gembira Loka Zoo, Yogyakarta",4.7,"Queen Sized Bed, TV","Indonesia Standard Double, Indonesia Suite Double, Indonesia Deluxe Double"
OYO 465 Alam Citra Bed & Breakfast,"Near Sewon, Yogyakarta",NEW,"Free Wifi, Fully Functional Kitchen, Queen Sized Bed, AC, TV","Indonesia Deluxe Double, Indonesia Suite Triple"
OYO 195 Stay @h Guesthouse,"Near Monumen Yogya Kembali, Yogyakarta",NEW,"Free Wifi, King Sized Bed, AC, TV, Seating Area","Indonesia Standard Double, Indonesia Deluxe Twin, Indonesia Deluxe Double"
OYO 3468 Ndalem Gusti Ayu,"Near Hartono Mall, Yogyakarta",NEW,"Free Wifi, Mini Fridge, Parking Facility, Coffee/Tea Maker, Hair Dryer","Indonesia Deluxe Double, Indonesia Suite Family, Indonesia Suite Double"
OYO 3707 Halona Guesthouse,"Near Hartono Mall, Yogyakarta",4.6,"Twin Single Bed, King Sized Bed, Queen Sized Bed, AC, TV","Indonesia Deluxe Double, Saver Double, Indonesia Standard Double"
OYO 1700 Danurejan Guesthouse,"Near Lempuyangan Train Station, Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, AC, TV, Seating Area","Indonesia Deluxe Single, Indonesia Suite Family, Indonesia Deluxe Double"
OYO Flagship 90983 Harmony Easy Stay,"NA, Condong Catur, Condongcatur, Depok, Sleman, Daerah Istimewa Yogyakarta, 55821, Indonesia, Yogyakarta",NEW,"Window, AC, TV, Balcony","Indonesia Standard Single, Indonesia Suite Family, Indonesia Standard Twin, Indonesia Standard Double, Indonesia Deluxe Double"
OYO 514 Omah Pari Boutique Hotel,Near 0 KM Malioboro,NEW,"Free Wifi, Kitchen, King Sized Bed, AC, TV","Indonesia Deluxe Double, Indonesia Suite Double, Classic (2X)"
OYO 347 Bayang Brothers Guest House,"Near Hartono Mall, UGM and UPN",NEW,"Free Wifi, AC, TV, Seating Area, Parking Facility","Indonesia Standard Single, Indonesia Deluxe Double"
OYO 890 Dewi Fortuna Guest House,"Near Plaza Ambarrukmo, Yogyakarta",4.8,"Window, Free Wifi, AC, TV, Parking Facility","Indonesia Standard Double, Indonesia Standard Twin"
OYO 3385 Victory Eksklusif,"Near STIE YKPN, Yogyakarta",NEW,"Kitchen, King Sized Bed, Queen Sized Bed, Twin Single Bed, AC","Deluxe Double, Deluxe Family Room, Deluxe Twin Room"
SPOT ON 2275 Omah Jm,"Near Lapangan Denggung, Yogyakarta",4.6,"Free Wifi, TV, CCTV Cameras, Reception, Fire-Extinguisher","SPOT ON Single, SPOT ON Twin"
